"date","itemsPerday"
2013-01-01,1963
2013-01-02,8266
2013-01-03,7466
2013-01-04,6639
2013-01-05,6374
2013-01-06,5880
2013-01-07,5016
2013-01-08,4818
2013-01-09,3186
2013-01-10,3184
2013-01-11,3855
2013-01-12,5459
2013-01-13,4513
2013-01-14,2619
2013-01-15,3169
2013-01-16,3045
2013-01-17,3102
2013-01-18,3718
2013-01-19,6050
2013-01-20,5133
2013-01-21,2662
2013-01-22,2785
2013-01-23,2753
2013-01-24,3028
2013-01-25,4258
2013-01-26,6291
2013-01-27,5289
2013-01-28,2864
2013-01-29,2778
2013-01-30,3056
2013-01-31,3002
2013-02-01,3839
2013-02-02,6161
2013-02-03,5080
2013-02-04,2364
2013-02-05,3314
2013-02-06,2986
2013-02-07,3766
2013-02-08,4442
2013-02-09,6806
2013-02-10,5533
2013-02-11,3432
2013-02-12,3648
2013-02-13,3790
2013-02-14,4050
2013-02-15,4277
2013-02-16,6683
2013-02-17,5893
2013-02-18,3225
2013-02-19,4246
2013-02-20,4092
2013-02-21,5312
2013-02-22,8043
2013-02-23,9490
2013-02-24,6163
2013-02-25,3054
2013-02-26,2994
2013-02-27,3042
2013-02-28,2949
2013-03-01,3862
2013-03-02,6505
2013-03-03,5506
2013-03-04,3075
2013-03-05,4447
2013-03-06,4351
2013-03-07,6786
2013-03-08,7604
2013-03-09,6403
2013-03-10,5095
2013-03-11,2874
2013-03-12,4312
2013-03-13,4027
2013-03-14,3657
2013-03-15,4904
2013-03-16,7363
2013-03-17,5625
2013-03-18,3127
2013-03-19,3138
2013-03-20,3277
2013-03-21,3504
2013-03-22,4675
2013-03-23,7246
2013-03-24,5231
2013-03-25,3211
2013-03-26,3940
2013-03-27,3689
2013-03-28,3788
2013-03-29,4488
2013-03-30,6635
2013-03-31,5389
2013-04-01,2590
2013-04-02,2558
2013-04-03,2601
2013-04-04,2760
2013-04-05,4046
2013-04-06,6305
2013-04-07,5148
2013-04-08,2524
2013-04-09,2799
2013-04-10,2851
2013-04-11,3327
2013-04-12,3955
2013-04-13,6038
2013-04-14,4505
2013-04-15,2554
